0,wrd_length,total_char,syl_count,syl_sum,sentiment
"But when   now the year had come in the courses of the seasons,   wherein the gods had ordained that he should return home to   Ithaca, not even there was he quit of labours, not even   among his own; but all the gods had pity on him save   Poseidon, who raged continually against godlike Odysseus,   till he came to his own country.","[3, 4, 3, 3, 4, 3, 4, 2, 3, 7, 2, 3, 7, 7, 3, 4, 3, 8, 4, 2, 6, 6, 4, 2, 6, 3, 4, 5, 3, 2, 4, 2, 7, 3, 4, 5, 3, 3, 3, 3, 3, 4, 3, 4, 2, 3, 4, 8, 3, 5, 11, 7, 7, 8, 4, 2, 4, 2, 3, 3, 7]",254,"[1 1 1 1 2 1 1 1 1 1 1 1 3 2 1 1 1 2 1 1 1 2 1 1 3 1 2 1 1 1 1 1 2 1 2 2 1
 1 1 1 1 1 1 2 1 1 1 3 1 1 4 2 2 3 1 1 1 1 1 1 2]",84,0.366666666667
"Howbeit Poseidon had now   departed for the distant Ethiopians, the Ethiopians that are   sundered in twain, the uttermost of men, abiding some where   Hyperion sinks and some where he rises.","[7, 8, 3, 3, 8, 3, 3, 7, 10, 3, 10, 4, 3, 8, 2, 5, 3, 9, 2, 3, 7, 4, 5, 8, 5, 3, 4, 5, 2, 5]",152,[2 3 1 1 2 1 1 2 4 1 4 1 1 2 1 1 1 3 1 1 3 1 1 3 1 1 1 1 1 1],48,-0.1
"There he looked to   receive his hecatomb of bulls and rams, there he made merry   sitting at the feast, but the other gods were gathered in   the halls of Olympian Zeus.","[5, 2, 6, 2, 7, 3, 8, 2, 5, 3, 4, 5, 2, 4, 5, 7, 2, 3, 5, 3, 3, 5, 4, 4, 8, 2, 3, 5, 2, 8, 4]",131,[1 1 1 1 2 1 3 1 1 1 1 1 1 1 2 2 1 1 2 1 1 2 1 1 2 1 1 1 1 4 1],42,-0.125
"Then among them the father of   men and gods began to speak, for he bethought him in his   heart of noble Aegisthus, whom the son of Agamemnon,   far-famed Orestes, slew.","[4, 5, 4, 3, 6, 2, 3, 3, 4, 5, 2, 5, 3, 2, 9, 3, 2, 3, 5, 2, 5, 9, 4, 3, 3, 2, 9, 9, 7, 4]",130,[1 2 1 1 2 1 1 1 1 2 1 2 1 1 2 1 1 1 2 1 1 3 1 1 1 1 4 2 2 1],43,0.6
"Thinking upon him he spake out among   the Immortals:    'Lo you now, how vainly mortal men do blame the gods!","[8, 4, 3, 2, 5, 3, 5, 3, 9, 3, 3, 3, 3, 6, 6, 3, 2, 5, 3, 4]",83,[2 2 1 1 1 1 2 1 3 1 1 1 1 2 2 1 1 1 1 1],27,0.0
"For of   us they say comes evil, whereas they even of themselves,   through the blindness of their own hearts, have sorrows   beyond that which is ordained.","[3, 2, 2, 4, 3, 5, 4, 7, 4, 4, 2, 10, 7, 3, 9, 2, 5, 3, 6, 4, 7, 6, 4, 5, 2, 8]",121,[1 1 1 1 1 1 2 3 1 2 1 2 1 1 2 1 1 1 2 1 2 1 1 1 1 2],35,-0.2
"Even as of late Aegisthus,   beyond that which was ordained, took to him the wedded wife   of the son of Atreus, and killed her lord on his return,   and that with sheer doom before his eyes, since we had   warned him by the embassy of Hermes the keen-sighted, the   slayer of Argos, that he should neither kill the man, nor   woo his wife.","[4, 2, 2, 4, 9, 6, 4, 5, 3, 8, 4, 2, 3, 3, 6, 4, 2, 3, 3, 2, 6, 3, 6, 3, 4, 2, 3, 6, 3, 4, 4, 5, 4, 6, 3, 4, 5, 2, 3, 6, 3, 2, 3, 7, 2, 6, 3, 12, 3, 6, 2, 5, 4, 2, 6, 7, 4, 3, 3, 3, 3, 3, 4]",257,"[2 1 1 1 3 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 2 1 0 1
 1 1 1 1 1 1 3 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1]",74,-0.166666666667
"For the son of Atreus shall be avenged at the   hand of Orestes, so soon as he shall come to man's estate   and long for his own country.","[3, 3, 3, 2, 6, 5, 2, 7, 2, 3, 4, 2, 7, 2, 4, 2, 2, 5, 4, 2, 3, 2, 6, 3, 4, 3, 3, 3, 7]",104,[1 1 1 1 2 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 0 2 1 1 1 1 1 2],33,0.275
"So spake Hermes, yet he   prevailed not on the heart of Aegisthus, for all his good   will; but now hath he paid one price for all.'","[2, 5, 6, 3, 2, 9, 3, 2, 3, 5, 2, 9, 3, 3, 3, 4, 4, 3, 3, 4, 2, 4, 3, 5, 3, 3]",98,[1 1 1 1 1 2 1 1 1 2 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1],30,0.7
"And the goddess, grey-eyed Athene, answered him, saying: 'O   father, our father Cronides, throned in the highest; that   man assuredly lies in a death that is his due; so perish   likewise all who work such deeds!","[3, 3, 7, 9, 6, 8, 3, 6, 2, 6, 3, 6, 8, 7, 2, 3, 7, 4, 3, 9, 4, 2, 1, 5, 4, 2, 3, 3, 2, 6, 8, 3, 3, 4, 4, 5]",164,[1 1 2 1 2 2 1 1 1 2 1 2 2 1 1 1 2 1 1 4 1 1 1 2 1 1 1 0 1 2 3 1 1 1 1 1],49,-0.0625
"But my heart is rent for   wise Odysseus, the hapless one, who far from his friends   this long while suffereth affliction in a sea-girt isle,   where is the navel of the sea, a woodland isle, and   therein a goddess hath her habitation, the daughter of the   wizard Atlas, who knows the depths of every sea, and   himself upholds the tall pillars which keep earth and sky   asunder.","[3, 2, 5, 2, 4, 3, 4, 8, 3, 7, 3, 3, 3, 4, 3, 7, 4, 4, 5, 9, 10, 2, 1, 8, 4, 5, 2, 3, 5, 2, 3, 3, 1, 8, 4, 3, 7, 1, 7, 4, 3, 10, 3, 8, 2, 3, 6, 5, 3, 5, 3, 6, 2, 5, 3, 3, 7, 7, 3, 4, 7, 5, 4, 5, 3, 3, 7]",294,"[1 1 2 1 1 1 1 3 1 2 1 1 1 1 1 2 1 1 1 3 3 1 1 3 1 1 1 1 2 1 1 2 1 2 1 1 2
 1 2 1 1 4 1 2 1 1 2 2 1 1 1 1 1 3 2 1 2 2 1 1 2 1 1 2 1 1 3]",98,0.0375
His daughter it is that holds the hapless man in   sorrow: and ever with soft and guileful tales she is   wooing him to forgetfulness of Ithaca.,"[3, 8, 2, 2, 4, 5, 3, 7, 3, 2, 6, 3, 4, 4, 4, 3, 8, 5, 3, 2, 6, 3, 2, 13, 2, 6]",113,[1 2 1 1 1 1 1 2 1 1 2 1 2 1 1 1 3 1 0 1 1 1 1 4 1 3],36,-0.25
"But Odysseus   yearning to see if it were but the smoke leap upwards from   his own land, hath a desire to die.","[3, 8, 8, 2, 3, 2, 2, 4, 3, 3, 5, 4, 7, 4, 3, 3, 4, 4, 1, 6, 2, 3]",84,[1 3 3 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1],29,0.6
"As for thee, thine   heart regardeth it not at all, Olympian!","[2, 3, 4, 5, 5, 9, 2, 3, 2, 3, 8]",46,[1 1 1 1 2 3 1 1 1 1 4],17,0.0
What!,[4],4,[1],1,0.0
Did not   Odysseus by the ships of the Argives make thee free   offering of sacrifice in the wide Trojan land?,"[3, 3, 8, 2, 3, 5, 2, 3, 7, 4, 4, 4, 8, 2, 9, 2, 3, 4, 6, 4]",86,[1 1 3 1 1 1 1 1 2 1 1 1 3 1 3 1 1 1 2 1],28,0.15
"Wherefore   wast thou then so wroth with him, O Zeus?'","[9, 4, 4, 4, 2, 5, 4, 3, 1, 4]",40,[3 1 1 1 1 1 1 1 1 1],12,0.0
"The ""Odyssey"" (as every one knows) abounds in passages borrowed from the ""Iliad""; I had wished to print these in a slightly different type, with marginal references to the ""Iliad,"" and had marked them to this end in my MS.","[3, 7, 2, 5, 3, 5, 7, 2, 8, 8, 4, 3, 5, 1, 3, 6, 2, 5, 5, 2, 1, 8, 9, 4, 4, 8, 10, 2, 3, 5, 3, 3, 6, 4, 2, 4, 3, 2, 2, 2]",171,"[1 3 1 3 1 1 2 1 2 2 1 1 3 1 1 1 1 1 1 1 1 2 3 1 1 3 3 1 1 3 1 1 1 1 1 1 1
 1 1 0]",57,0.05
"I found, however, that the translation would be thus hopelessly scholasticised, and abandoned my intention.","[1, 5, 7, 4, 3, 11, 5, 2, 4, 10, 14, 3, 9, 2, 9]",89,[1 1 3 1 1 3 1 1 1 4 4 1 3 1 3],29,0.0
"I would nevertheless urge on those who have the management of our University presses, that they would render a great service to students if they would publish a Greek text of the ""Odyssey"" with the Iliadic passages printed in a different type, and with marginal references.","[1, 5, 12, 4, 2, 5, 3, 4, 3, 10, 2, 3, 10, 7, 4, 4, 5, 6, 1, 5, 7, 2, 8, 2, 4, 5, 7, 1, 5, 4, 2, 3, 7, 4, 3, 7, 8, 7, 2, 1, 9, 4, 3, 4, 8, 10]",223,"[1 1 4 1 1 1 1 1 1 4 1 1 5 1 1 1 1 2 1 2 2 1 2 1 1 1 2 1 1 1 1 1 3 1 1 4 2
 1 1 1 3 1 1 1 3 3]",73,0.266666666667
"I have given the British Museum a copy of the ""Odyssey"" with the Iliadic passages underlined and referred to in MS.; I have also given an ""Iliad"" marked with all the Odyssean passages, and their references; but copies of both the ""Iliad"" and ""Odyssey"" so marked ought to be within easy reach of all students.","[1, 4, 5, 3, 7, 6, 1, 4, 2, 3, 7, 4, 3, 7, 8, 10, 3, 8, 2, 2, 2, 1, 4, 4, 5, 2, 5, 6, 4, 3, 3, 8, 8, 3, 5, 10, 3, 6, 2, 4, 3, 5, 3, 7, 2, 6, 5, 2, 2, 6, 4, 5, 2, 3, 8]",241,"[1 1 2 1 2 2 1 2 1 1 3 1 1 4 2 3 1 2 1 1 0 1 1 2 2 1 3 1 1 1 1 4 2 1 1 3 1
 2 1 1 1 3 1 3 1 1 1 1 1 2 3 2 1 1 2]",87,0.158333333333
"Any one who at the present day discusses the questions that have arisen round the ""Iliad"" since Wolf's time, without keeping it well before his reader's mind that the ""Odyssey"" was demonstrably written from one single neighbourhood, and hence (even though nothing else pointed to this conclusion) presumably by one person only--that it was written certainly before 750, and in all probability before 1000 B.C.--that the writer of this very early poem was demonstrably familiar with the ""Iliad"" as we now have it, borrowing as freely from those books whose genuineness has been most impugned, as from those which are admitted to be by Homer--any one who fails to keep these points before his readers, is hardly dealing equitably by them.","[3, 3, 3, 2, 3, 7, 3, 9, 3, 9, 4, 4, 6, 5, 3, 5, 5, 4, 2, 4, 7, 7, 2, 4, 6, 3, 6, 2, 4, 4, 3, 7, 3, 12, 7, 4, 3, 6, 13, 3, 5, 4, 6, 7, 4, 7, 2, 4, 10, 10, 2, 3, 6, 4, 4, 2, 3, 7, 9, 6, 3, 3, 2, 3, 11, 6, 4, 3, 4, 3, 6, 2, 4, 4, 5, 4, 3, 12, 8, 4, 3, 5, 2, 2, 3, 4, 2, 9, 2, 6, 4, 5, 5, 5, 11, 3, 4, 4, 8, 2, 4, 5, 5, 3, 8, 2, 2, 2, 5, 3, 3, 3, 5, 2, 4, 5, 6, 6, 3, 7, 2, 6, 7, 9, 2, 4]",594,"[2 1 1 1 1 2 1 2 1 2 1 1 3 1 1 3 1 1 0 1 2 2 1 1 2 1 3 0 1 1 1 3 1 4 2 1 1
 1 3 1 1 2 1 2 1 1 1 1 3 4 1 1 2 2 1 1 1 2 3 2 0 1 1 1 5 2 0 0 1 1 2 1 1 2
 3 1 1 4 4 1 1 3 1 1 1 1 1 3 1 2 1 1 1 1 4 1 1 1 2 1 1 1 1 1 2 1 1 1 2 2 1
 1 1 1 1 1 1 2 1 3 1 2 3 4 1 1]",191,0.055619047619
"Any one on the other hand, who will mark his ""Iliad"" and his ""Odyssey"" from the copies in the British Museum above referred to, and who will draw the only inference that common sense can draw from the presence of so many identical passages in both poems, will, I believe, find no difficulty in assigning their proper value to a large number of books here and on the Continent that at present enjoy considerable reputations.","[3, 3, 2, 3, 5, 4, 3, 4, 4, 3, 5, 3, 3, 7, 4, 3, 6, 2, 3, 7, 6, 5, 8, 2, 3, 3, 4, 4, 3, 4, 9, 4, 6, 5, 3, 4, 4, 3, 8, 2, 2, 4, 9, 8, 2, 4, 5, 4, 1, 7, 4, 2, 10, 2, 9, 5, 6, 5, 2, 1, 5, 6, 2, 5, 4, 3, 2, 3, 9, 4, 2, 7, 5, 12, 11]",339,"[2 1 1 1 2 1 1 1 1 1 3 1 1 3 1 1 2 1 1 2 2 2 2 1 1 1 1 1 1 2 3 1 2 1 1 1 1
 1 2 1 1 2 4 2 1 1 1 1 1 3 1 1 4 1 3 1 2 1 1 1 1 2 1 1 1 1 1 1 3 1 1 2 2 4
 4]",115,0.0717532467532
"Furthermore, and this perhaps is an advantage better worth securing, he will find that many puzzles of the ""Odyssey"" cease to puzzle him on the discovery that they arise from over-saturation with the ""Iliad.""","[11, 3, 4, 7, 2, 2, 9, 6, 5, 8, 2, 4, 4, 4, 4, 7, 2, 3, 7, 5, 2, 6, 3, 2, 3, 9, 4, 4, 5, 4, 15, 4, 3, 5]",168,[3 1 1 2 1 1 3 2 1 3 1 1 1 1 2 1 1 1 3 2 1 1 1 1 1 4 1 1 2 1 6 1 1 3],57,0.433333333333
Other difficulties will also disappear as soon as the development of the poem in the writer's mind is understood.,"[5, 12, 4, 4, 9, 2, 4, 2, 3, 11, 2, 3, 4, 2, 3, 6, 2, 4, 2, 10]",94,[2 4 1 2 4 1 1 1 1 4 1 1 1 1 1 2 0 1 1 3],33,-0.125
I have dealt with this at some length in pp.,"[1, 4, 5, 4, 4, 2, 4, 6, 2, 2]",34,[1 1 2 1 1 1 1 1 1 0],10,0.0
"251-261 of ""The Authoress of the Odyssey"".","[7, 2, 3, 9, 2, 3, 7]",33,[0 1 1 3 1 1 3],10,0.0
"Briefly, the ""Odyssey"" consists of two distinct poems: (1) The Return of Ulysses, which alone the Muse is asked to sing in the opening lines of the poem.","[7, 3, 7, 8, 2, 3, 8, 5, 1, 3, 6, 2, 7, 5, 5, 3, 4, 2, 5, 2, 4, 2, 3, 7, 5, 2, 3, 4]",118,[3 1 3 2 1 1 2 1 0 1 2 1 2 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1],38,-0.15
"This poem includes the Phaeacian episode, and the account of Ulysses' adventures as told by himself in Books ix.-xii.","[4, 4, 8, 3, 9, 7, 3, 3, 7, 2, 7, 10, 2, 4, 2, 7, 2, 5, 7]",96,[1 1 2 1 4 3 1 1 2 1 2 3 1 1 1 2 1 1 2],31,0.0
"It consists of lines 1-79 (roughly) of Book i., of line 28 of Book v., and thence without intermission to the middle of line 187 of Book xiii., at which point the original scheme was abandoned.","[2, 8, 2, 5, 4, 7, 2, 4, 1, 2, 4, 2, 2, 4, 1, 3, 6, 7, 12, 2, 3, 6, 2, 4, 3, 2, 4, 4, 2, 5, 5, 3, 8, 6, 3, 9]",149,[1 2 1 1 0 2 1 1 1 1 1 0 1 1 0 1 1 2 4 1 1 1 1 1 0 1 1 1 1 1 1 1 4 1 1 3],43,0.0916666666667
"(2) The story of Penelope and the suitors, with the episode of Telemachus' voyage to Pylos.","[1, 3, 5, 2, 8, 3, 3, 7, 4, 3, 7, 2, 10, 6, 2, 5]",71,[0 1 2 1 3 1 1 2 1 1 3 1 4 2 1 2],26,0.0
"This poem begins with line 80 (roughly) of Book i., is continued to the end of Book iv., and not resumed till Ulysses wakes in the middle of line 187, Book xiii., from whence it continues to the end of Book xxiv.","[4, 4, 6, 4, 4, 2, 7, 2, 4, 1, 2, 9, 2, 3, 3, 2, 4, 2, 3, 3, 7, 4, 7, 5, 2, 3, 6, 2, 4, 3, 4, 4, 4, 6, 2, 9, 2, 3, 3, 2, 4, 4]",161,"[1 1 2 1 1 0 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 0 1 1 1 1 1 2 1
 1 1 1 1 1]",46,-0.05
"In ""The Authoress of the Odyssey"", I wrote:     the introduction of lines xi., 115-137 and of line ix.,    535, with the writing a new council of the gods at the    beginning of Book v., to take the place of the one that was    removed to Book i., 1-79, were the only things that were    done to give even a semblance of unity to the old scheme    and the new, and to conceal the fact that the Muse, after    being asked to sing of one subject, spend two-thirds of her    time in singing a very different one, with a climax for    which no-one has asked her.","[2, 3, 9, 2, 3, 7, 1, 5, 3, 12, 2, 5, 2, 7, 3, 2, 4, 2, 3, 4, 3, 7, 1, 3, 7, 2, 3, 4, 2, 3, 9, 2, 4, 1, 2, 4, 3, 5, 2, 3, 3, 4, 3, 7, 2, 4, 1, 4, 4, 3, 4, 6, 4, 4, 4, 2, 4, 4, 1, 9, 2, 5, 2, 3, 3, 6, 3, 3, 3, 3, 2, 7, 3, 4, 4, 3, 4, 5, 5, 5, 2, 4, 2, 3, 7, 5, 10, 2, 3, 4, 2, 7, 1, 4, 9, 3, 4, 1, 6, 3, 5, 6, 3, 5, 3]",407,"[1 1 3 1 1 3 1 1 1 4 1 1 1 0 1 1 1 1 0 1 1 2 1 1 2 1 1 1 1 1 3 1 1 0 1 1 1
 1 1 1 1 1 1 2 1 1 1 0 1 1 2 1 1 1 1 1 1 2 1 2 1 3 1 1 1 1 1 1 1 1 1 3 1 1
 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 2 1 2 3 1 1 1 2 1 1 2 1 1 1]",129,0.0343434343434
