0,wrd_length,total_char,syl_count,syl_sum,sentiment
"Kinch, the loveliest mummer of them all!","[5, 3, 9, 6, 2, 4, 3]",32,[1 1 4 2 1 1 1],11,0.0
"He shaved evenly and with care, in silence, seriously.","[2, 6, 6, 3, 4, 4, 2, 7, 9]",43,[1 1 3 1 1 1 1 2 3],14,-0.333333333333
"Stephen, an elbow rested on the jagged granite, leaned his palm against his brow and gazed at the fraying edge of his shiny black coat-sleeve.","[7, 2, 5, 6, 2, 3, 6, 7, 6, 3, 4, 7, 3, 4, 3, 5, 2, 3, 7, 4, 2, 3, 5, 5, 11]",115,[2 1 2 1 1 1 1 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 2],32,-0.166666666667
"Pain, that was not yet the pain of love, fretted his heart.","[4, 4, 3, 3, 3, 3, 4, 2, 4, 7, 3, 5]",45,[1 1 1 1 1 1 1 1 1 1 1 2],13,0.5
"Silently, in a dream she had come to him after her death, her wasted body within its loose brown graveclothes giving off an odour of wax and rosewood, her breath, that had bent upon him, mute, reproachful, a faint odour of wetted ashes.","[8, 2, 1, 5, 3, 3, 4, 2, 3, 5, 3, 5, 3, 6, 4, 6, 3, 5, 5, 12, 6, 3, 2, 5, 2, 3, 3, 8, 3, 6, 4, 3, 4, 4, 3, 4, 11, 1, 5, 5, 2, 6, 5]",186,"[3 1 1 2 0 1 1 1 1 2 1 2 1 1 2 2 1 1 1 3 2 1 1 2 1 1 1 3 1 2 1 1 1 2 1 1 3
 1 1 2 1 1 1]",60,-0.194230769231
Across the threadbare cuffedge he saw the sea hailed as a great sweet mother by the wellfed voice beside him.,"[6, 3, 10, 8, 2, 3, 3, 3, 6, 2, 1, 5, 5, 6, 2, 3, 7, 5, 6, 3]",89,[2 1 3 2 1 1 1 2 1 1 1 2 1 2 1 1 1 1 2 1],28,0.575
The ring of bay and skyline held a dull green mass of liquid.,"[3, 4, 2, 3, 3, 7, 4, 1, 4, 5, 4, 2, 6]",48,[1 1 1 1 1 2 1 1 1 1 1 1 2],15,-0.245833333333
A bowl of white china had stood beside her deathbed holding the green sluggish bile which she had torn up from her rotting liver by fits of loud groaning vomiting.,"[1, 4, 2, 5, 5, 3, 5, 6, 3, 8, 7, 3, 5, 8, 4, 5, 3, 3, 4, 2, 4, 3, 7, 5, 2, 4, 2, 4, 8, 8]",133,[1 1 1 1 2 1 1 2 1 2 2 1 1 2 1 1 0 1 1 1 1 1 2 2 1 1 1 1 2 3],39,-0.0333333333333
Buck Mulligan wiped again his razorblade.,"[4, 8, 5, 5, 3, 10]",35,[1 3 1 2 1 3],11,0.0
"--Ah, poor dogsbody!","[2, 4, 8]",14,[1 1 3],5,-0.5
he said in a kind voice.,"[2, 4, 2, 1, 4, 5]",18,[1 1 1 1 1 1],6,0.6
I must give you a shirt and a few noserags.,"[1, 4, 4, 3, 1, 5, 3, 1, 3, 8]",33,[1 1 1 1 1 1 1 1 1 3],12,-0.2
How are the secondhand breeks?,"[3, 3, 3, 10, 6]",25,[1 1 1 3 1],7,-0.1
"--They fit well enough, Stephen answered.","[4, 3, 4, 6, 7, 8]",32,[1 1 1 2 2 2],9,0.2
Buck Mulligan attacked the hollow beneath his underlip.,"[4, 8, 8, 3, 6, 7, 3, 8]",47,[1 3 2 1 2 3 1 3],16,-0.1
"--The mockery of it, he said contentedly.","[3, 7, 2, 2, 2, 4, 11]",31,[1 3 1 1 1 1 4],12,0.0
Secondleg they should be.,"[9, 4, 6, 2]",21,[3 1 1 1],6,0.0
God knows what poxy bowsy left them off.,"[3, 5, 4, 4, 5, 4, 4, 3]",32,[1 1 1 2 2 1 1 1],10,0.0
"I have a lovely pair with a hair stripe, grey.","[1, 4, 1, 6, 4, 4, 1, 4, 6, 4]",35,[1 1 1 3 1 1 1 1 1 1],12,0.225
You'll look spiffing in them.,"[3, 3, 4, 8, 2, 4]",24,[1 0 1 2 1 1],6,0.0
"I'm not joking, Kinch.","[1, 2, 3, 6, 5]",17,[1 0 1 2 1],5,0.0
You look damn well when you're dressed.,"[3, 4, 4, 4, 4, 3, 3, 7]",32,[1 1 1 1 1 1 0 1],7,0.0
"--Thanks, Stephen said.","[6, 7, 4]",17,[1 2 1],4,0.2
I can't wear them if they are grey.,"[1, 2, 3, 4, 4, 2, 4, 3, 4]",27,[1 1 0 2 1 1 1 1 1],9,-0.05
"--He can't wear them, Buck Mulligan told his face in the mirror.","[2, 2, 3, 4, 4, 4, 8, 4, 3, 4, 2, 3, 6]",49,[1 1 0 2 1 1 3 1 1 1 1 1 2],16,0.0
Etiquette is etiquette.,"[9, 2, 9]",20,[3 1 3],7,0.0
He kills his mother but he can't wear grey trousers.,"[2, 5, 3, 6, 3, 2, 2, 3, 4, 4, 8]",42,[1 1 1 2 1 1 1 0 2 1 2],13,-0.05
He folded his razor neatly and with stroking palps of fingers felt the smooth skin.,"[2, 6, 3, 5, 6, 3, 4, 8, 5, 2, 7, 4, 3, 6, 4]",68,[1 1 1 2 3 1 1 2 1 1 2 1 1 1 1],20,0.4
Stephen turned his gaze from the sea and to the plump face with its smokeblue mobile eyes.,"[7, 6, 3, 4, 4, 3, 3, 3, 2, 3, 5, 4, 4, 3, 9, 6, 4]",73,[2 1 1 1 1 1 2 1 1 1 1 1 1 1 2 2 0],20,0.0
"--That fellow I was with in the Ship last night, said Buck Mulligan, says you have g.p.i.","[4, 6, 1, 3, 4, 2, 3, 4, 4, 5, 4, 4, 8, 4, 3, 4, 5]",68,[1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1],20,0.0
He's up in Dottyville with Connolly Norman.,"[2, 2, 2, 2, 10, 4, 8, 6]",36,[1 0 1 1 3 1 3 2],12,0.0
General paralysis of the insane!,"[7, 9, 2, 3, 6]",27,[3 4 1 1 2],11,-0.475
He swept the mirror a half circle in the air to flash the tidings abroad in sunlight now radiant on the sea.,"[2, 5, 3, 6, 1, 4, 6, 2, 3, 3, 2, 5, 3, 7, 6, 2, 8, 3, 7, 2, 3, 3]",86,[1 1 1 2 1 1 1 1 1 1 1 1 1 2 2 1 2 1 3 1 1 2],29,-0.166666666667
His curling shaven lips laughed and the edges of his white glittering teeth.,"[3, 7, 6, 4, 7, 3, 3, 5, 2, 3, 5, 10, 5]",63,[1 2 2 1 1 1 1 1 1 1 1 3 1],17,0.35
Laughter seized all his strong wellknit trunk.,"[8, 6, 3, 3, 6, 8, 5]",39,[2 1 1 1 1 2 1],9,0.433333333333
"--Look at yourself, he said, you dreadful bard!","[4, 2, 8, 2, 4, 3, 8, 4]",35,[1 1 2 1 1 1 3 1],11,-1.0
"Stephen bent forward and peered at the mirror held out to him, cleft by a crooked crack.","[7, 4, 7, 3, 6, 2, 3, 6, 4, 3, 2, 3, 5, 2, 1, 7, 5]",70,[2 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1],20,0.0
Hair on end.,"[4, 2, 3]",9,[1 1 1],3,0.0
As he and others see me.,"[2, 2, 3, 6, 3, 2]",18,[1 1 1 2 1 1],7,0.0
Who chose this face for me?,"[3, 5, 4, 4, 3, 2]",21,[1 1 1 1 1 1],6,0.0
This dogsbody to rid of vermin.,"[4, 8, 2, 3, 2, 6]",25,[1 3 1 1 1 2],9,0.0
It asks me too.,"[2, 4, 2, 3]",11,[1 1 1 1],4,0.0
"--I pinched it out of the skivvy's room, Buck Mulligan said.","[1, 7, 2, 3, 2, 3, 6, 2, 4, 4, 8, 4]",46,[1 1 1 1 1 1 2 0 1 1 3 1],14,0.0
It does her all right.,"[2, 4, 3, 3, 5]",17,[1 0 1 1 1],4,0.285714285714
The aunt always keeps plainlooking servants for Malachi.,"[3, 4, 6, 5, 12, 8, 3, 7]",48,[1 1 2 1 3 2 1 3],14,0.0
Lead him not into temptation.,"[4, 3, 3, 4, 10]",24,[2 1 1 2 3],9,0.0
And her name is Ursula.,"[3, 3, 4, 2, 6]",18,[1 1 1 1 3],7,0.0
"Laughing again, he brought the mirror away from Stephen's peering eyes.","[8, 5, 2, 7, 3, 6, 4, 4, 7, 2, 7, 4]",59,[2 2 1 1 1 2 2 1 2 0 2 0],16,0.0
"--The rage of Caliban at not seeing his face in a mirror, he said.","[3, 4, 2, 7, 2, 3, 6, 3, 4, 2, 1, 6, 2, 4]",49,[1 1 1 3 1 1 1 1 1 1 1 2 1 1],17,0.0
If Wilde were only alive to see you!,"[2, 5, 4, 4, 5, 2, 3, 3]",28,[1 1 1 2 2 1 1 1],10,0.0625
"Drawing back and pointing, Stephen said with bitterness:  --It is a symbol of Irish art.","[7, 4, 3, 8, 7, 4, 4, 10, 2, 2, 1, 6, 2, 5, 3]",68,[2 1 1 2 2 1 1 3 1 1 1 2 1 2 1],22,0.0
The cracked looking-glass of a servant.,"[3, 7, 13, 2, 1, 7]",33,[1 1 3 1 1 2],9,0.0
"Buck Mulligan suddenly linked his arm in Stephen's and walked with him round the tower, his razor and mirror clacking in the pocket where he had thrust them.","[4, 8, 8, 6, 3, 3, 2, 7, 2, 3, 6, 4, 3, 5, 3, 5, 3, 5, 3, 6, 8, 2, 3, 6, 5, 2, 3, 6, 4]",128,[1 3 3 1 1 1 1 2 0 1 1 1 1 1 1 2 1 2 1 2 2 1 1 2 1 1 1 1 1],38,-0.1
"--It's not fair to tease you like that, Kinch, is it?","[2, 2, 3, 4, 2, 5, 3, 4, 4, 5, 2, 2]",38,[1 0 1 1 1 2 1 1 1 1 1 1],12,-0.35
he said kindly.,"[2, 4, 6]",12,[1 1 2],4,0.6
God knows you have more spirit than any of them.,"[3, 5, 3, 4, 4, 6, 4, 3, 2, 4]",38,[1 1 1 1 1 2 1 2 1 1],12,0.5
Parried again.,"[7, 5]",12,[2 2],4,0.0
He fears the lancet of my art as I fear that of his.,"[2, 5, 3, 6, 2, 2, 3, 2, 1, 4, 4, 2, 3]",39,[1 2 1 2 1 1 1 1 1 2 1 1 1],16,0.0
The cold steelpen.,"[3, 4, 8]",15,[1 1 2],4,-0.6
--Cracked lookingglass of a servant!,"[7, 12, 2, 1, 7]",29,[1 3 1 1 2],8,0.0
Tell that to the oxy chap downstairs and touch him for a guinea.,"[4, 4, 2, 3, 3, 4, 10, 3, 5, 3, 3, 1, 6]",51,[1 1 1 1 2 1 2 1 1 1 1 1 3],17,0.0
He's stinking with money and thinks you're not a gentleman.,"[2, 2, 8, 4, 5, 3, 6, 3, 3, 3, 1, 9]",49,[1 0 2 1 2 1 1 1 0 1 1 3],14,0.0
His old fellow made his tin by selling jalap to Zulus or some bloody swindle or other.,"[3, 3, 6, 4, 3, 3, 2, 7, 5, 2, 5, 2, 4, 6, 7, 2, 5]",69,[1 1 2 1 1 1 1 2 2 1 2 1 1 2 1 1 2],23,-0.275
"God, Kinch, if you and I could only work together we might do something for the island.","[3, 5, 2, 3, 3, 1, 5, 4, 4, 8, 2, 5, 2, 9, 3, 3, 6]",68,[1 1 1 1 1 1 1 2 1 3 1 1 1 3 1 1 2],23,0.0
Hellenise it.,"[9, 2]",11,[3 1],4,0.0
Cranly's arm.,"[6, 2, 3]",11,[2 0 1],3,0.0
His arm.,"[3, 3]",6,[1 1],2,0.0
--And to think of your having to beg from these swine.,"[3, 2, 5, 2, 4, 6, 2, 3, 4, 5, 5]",41,[1 1 1 1 1 2 1 1 1 1 1],12,0.0
I'm the only one that knows what you are.,"[1, 2, 3, 4, 3, 4, 5, 4, 3, 3]",32,[1 0 1 2 1 1 1 1 1 1],10,0.0
Why don't you trust me more?,"[3, 2, 3, 3, 5, 2, 4]",22,[1 1 0 1 1 1 1],6,0.5
What have you up your nose against me?,"[4, 4, 3, 2, 4, 4, 7, 2]",30,[1 1 1 1 1 1 2 1],9,0.0
Is it Haines?,"[2, 2, 6]",10,[1 1 1],3,0.0
If he makes any noise here I'll bring down Seymour and we'll give him a ragging worse than they gave Clive Kempthorpe.,"[2, 2, 5, 3, 5, 4, 1, 3, 5, 4, 7, 3, 2, 3, 4, 3, 1, 7, 5, 4, 4, 4, 5, 10]",96,[1 1 1 2 1 1 1 0 1 1 2 1 1 0 1 1 1 2 1 1 1 1 1 2],26,-0.277777777778
